"city","pop","poppc","pop2000","babies","children","elderly","female","white","black","native","asian","islander","multir","hispanic","stayput","foreign","nonenglish","highschool","grads","commute","units","ownership","housevalue","households","housesold_size","housesold_income","income","poverty","trade_sales","retail_sales","retail_sales_pc","accomod","firms","firms_black","firms_native","firms_asian","firms_hispanic","firms_islander","firms_female","area","density","fips","county"
"Dublin",41840,39.2,29973,5.9,21,4.6,47.3,69.4,10.1,0.7,10.3,0.3,3.9,13.5,45.7,13.6,19,86.3,32.9,31.1,9872,64.9,330700,9325,2.65,77283,29451,2.9,730251,1075989,31351,91900,2868,NA,NA,NA,NA,NA,30.6,12,2380.7,20018,"Alameda County "
"East Palo Alto",32784,11.1,29506,10,35,5.1,48.5,27,23,0.8,2.2,7.6,4.6,58.8,54.2,43.8,64.8,48.2,10.6,25.9,7091,43.5,302100,6976,4.2,45006,13774,16.2,NA,164748,5221,19778,948,NA,NA,NA,NA,NA,NA,2,11571,20956,"San Mateo County "
"El Cajon",91756,-3.3,94869,8.2,27.9,11.3,51.2,74,5.4,1,2.8,0.4,6,22.5,40.1,17.5,26.7,79.2,14.5,26.1,35190,40.5,190200,34199,2.7,35566,16698,16.7,618238,1643904,17320,134976,7100,NA,NA,3.7,NA,NA,22.5,14,6511.3,21712,"San Diego County "
"El Centro",40563,6.7,37835,8.4,33.6,9.3,50.9,46.9,3.2,1,3.5,0.1,3.7,74.6,49.6,34.4,71.6,62.9,14,18.5,12263,50.2,104300,11439,3.23,33161,13874,22.8,190823,589474,15605,56939,2288,NA,NA,NA,51.2,NA,NA,9,3949.4,21782,"Imperial County "
"El Monte",123162,6.2,115965,10,34.1,6.9,49.5,35.7,0.8,1.4,18.5,0.1,4.3,72.4,50.7,51.3,80.7,44.2,7.1,27.2,27758,41,158100,27034,4.24,32439,10316,26.1,787023,1789611,15037,57176,6491,NA,NA,NA,33.4,NA,29,9,12142.9,22230,"Los Angeles County "
"Elk Grove",129184,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252764,1098447,12484,92268,6530,NA,NA,16,9.7,NA,30.9,NA,NA,22020,"Sacramento County "
"Encinitas",59260,2.3,58014,5.9,23.1,10.4,50.2,86.6,0.6,0.5,3.1,0.1,2.9,14.8,49.5,13.9,19.4,91.1,50,27,23843,64.2,353300,22830,2.52,63954,34336,7.3,299048,973601,16395,125682,8992,NA,NA,NA,NA,NA,32.3,19,3035.8,22678,"San Diego County "
"Escondido",133510,-0.2,133559,8.8,29.7,11,50.4,67.8,2.3,1.2,4.5,0.2,4.8,38.7,40.2,25.5,38.1,72.6,20.1,27.3,45050,53.2,192600,43817,3.01,42567,18241,13.4,528507,2261183,16732,147024,10389,NA,NA,8.7,17.2,NA,42,36,3681.3,22804,"San Diego County "
"Eureka",25435,-2.6,26128,5.7,22.4,13.7,50.5,82.5,1.6,4.2,3.6,0.3,5.1,7.8,43.5,5.5,9.4,81.7,16.9,14.9,11637,46.5,114000,10957,2.26,25849,16174,23.7,166799,704106,27183,78007,2658,NA,NA,NA,NA,NA,23.7,9,2764.9,23042,"Humboldt County "
"Fairfield",104897,9.1,96178,8.5,29.8,9,50.2,56.2,15,0.8,10.9,0.9,7.4,18.8,45,16.3,24.4,85,20.4,29.5,31792,59.7,174700,30870,2.98,51151,20617,9.3,1347489,1243366,12258,130111,5641,13.7,NA,11.3,NA,NA,34.8,37,2554.5,23182,"Solano County "
